word,count
easily,48
couldnât,48
church,48
ate,48
0,48
workout,47
third,47
suit,47
rolling,47
paying,47
non,47
named,47
ill,47
humor,47
hanging,47
finding,47
example,47
children,47
bunch,47
9,47
thanksgiving,46
teach,46
rock,46
natural,46
memory,46
let's,46
image,46
honest,46
hadn't,46
beginning,46
age,46
won,45
wasnt,45
tiny,45
throughout,45
specific,45
questions,45
professor,45
presence,45
post,45
none,45
marriage,45
lives,45
interested,45
ideal,45
gives,45
falling,45
11,45
weather,44
watched,44
throw,44
test,44
spending,44
sooner,44
snuggle,44
save,44
response,44
ran,44
potentially,44
messaged,44
kept,44
husband,44
helped,44
grade,44
goodness,44
flights,44
coffee,44
cliff,44
apologize,44
anymore,44
aint,44
wouldnt,43
sneaky,43
sing,43
seriously,43
seemed,43
sass,43
randy,43
pray,43
playlist,43
perfectly,43
obvious,43
inside,43
faith,43
dead,43
colors,43
wrote,42
terms,42
sweaty,42
simple,42
seconds,42
ride,42
pregnant,42
omg,42
older,42
muscles,42
mood,42
mad,42
lecture,42
goodnight,42
express,42
expensive,42
engagement,42
email,42
effort,42
die,42
cry,42
clear,42
breakfast,42
black,42
7,42
yeahhhhhh,41
south,41
slow,41
silent,41
realizing,41
overwhelmed,41
noticed,41
medicine,41
lazy,41
lab,41
hadnât,41
five,41
drop,41
david,41
checked,41
besides,41
â¤ï¸,41
write,40
saturday,40
push,40
loud,40
kobe,40
hurts,40
floor,40
fault,40
fairly,40
faces,40
explain,40
exercise,40
dreams,40
dates,40
crush,40
couch,40
bag,40
air,40
above,40
12,40
youâd,39
within,39
tbh,39
stressed,39
stopped,39
starts,39
spring,39
sister,39
shows,39
shouldn't,39
planned,39
per,39
overly,39
normally,39
moved,39
loans,39
laundry,39
hi,39
goof,39
glasses,39
gainesville,39
fyi,39
form,39
breath,39
apart,39
added,39
100,39
ticket,38
sides,38
showed,38
reaction,38
puzzle,38
pushing,38
prayer,38
plans,38
phrase,38
office,38
necessary,38
itself,38
hmmm,38
heck,38
finish,38
emotions,38
doesnt,38
decide,38
credit,38
clearly,38
catholic,38
bigger,38
based,38
aww,38
1000,38
trouble,37
tease,37
system,37
size,37
rush,37
relationships,37
recently,37
process,37
practical,37
poor,37
learning,37
lady,37
itâll,37
involved,37
immediately,37
grinning,37
extremely,37
duck,37
building,37
bugs,37
absurd,37
wondering,36
volunteer,36
totally,36
tight,36
tickets,36
stories,36
socks,36
research,36
reference,36
played,36
nervous,36
mouth,36
marry,36
lines,36
lake,36
issue,36
ideas,36
havent,36
ends,36
deeper,36
cook,36
common,36
cheese,36
changing,36
bible,36
awwww,36
argue,36
alarm,36
yike,35
travel,35
til,35
stress,35
standing,35
shot,35
scandalous,35
residency,35
movies,35
melt,35
meds,35
math,35
mark,35
held,35
gotchu,35
funky,35
fell,35
fb,35
choice,35
blood,35
beach,35
anatomy,35
ahh,35
woot,34
window,34
weren't,34
visiting,34
tv,34
there's,34
sweetness,34
shoulders,34
related,34
randomly,34
program,34
pee,34
netflix,34
neither,34
loves,34
keeps,34
heather,34
faster,34
energy,34
dizzy,34
distracted,34
corner,34
conversations,34
celebrate,34
brown,34
anywhere,34
alive,34
wildly,33
version,33
teeth,33
strange,33
sick,33
shared,33
rice,33
possibility,33
online,33
news,33
naturally,33
major,33
lets,33
letâs,33
honored,33
hitting,33
follow,33
drink,33
deep,33
cuddled,33
convo,33
contact,33
adding,33
timing,32
sore,32
remembered,32
period,32
order,32
opposed,32
noise,32
messaging,32
mental,32
meal,32
low,32
letters,32
kumquat,32
internet,32
heading,32
flying,32
fits,32
filled,32
figuring,32
emotional,32
depending,32
dark,32
daniel,32
company,32
chatting,32
caught,32
catch,32
calls,32
breathing,32
boys,32
asl,32
alright,32
adventure,32
you'll,31
weight,31
toes,31
sweatshirt,31
season,31
sassy,31
rule,31
return,31
reach,31
prepare,31
pieces,31
partner,31
pack,31
orlando,31
opposite,31
opinion,31
note,31
mmmmmm,31
mm,31
messenger,31
limit,31
impressed,31
goofy,31
extent,31
communicate,31
choose,31
chair,31
appreciated,31
anxiety,31
allowed,31
ability,31
1),31
willing,30
undergrad,30
uncomfortable,30
sun,30
spoiled,30
spice,30
shorter,30
shoot,30
shake,30
regular,30
promise,30
progress,30
picking,30
parish,30
paid,30
october,30
mention,30
main,30
lead,30
hurricane,30
gym,30
goal,30
focus,30
families,30
extended,30
entire,30
enjoying,30
decision,30
consider,30
classic,30
2),30
winning,29
wall,29
versus,29
track,29
term,29
taste,29
switch,29
smooth,29
shirtless,29
road,29
preference,29
position,29
personal,29
oooooo,29
nickname,29
nerves,29
messed,29
jk,29
i've,29
impressive,29
hmm,29
hasn't,29
harder,29
happier,29
grow,29
gas,29
fruit,29
force,29
fix,29
budget,29
breaks,29
boundaries,29
bought,29
board,29
baking,29
act,29
accurate,29
winter,28
what's,28
view,28
turning,28
stretch,28
paper,28
page,28
necessarily,28
min,28
miles,28
images,28
hun,28
headed,28
grab,28
freaking,28
finger,28
expected,28
doubt,28
crying,28
cribbage,28
changes,28
blast,28
blame,28
aunt,28
artist,28
advice,28
adriana,28
account,28
8:30,28
yeahhhhhhh,27
whisper,27
wet,27
sweat,27
supportive,27
squirm,27
soup,27
routine,27
relate,27
recognize,27
picked,27
ours,27
occasionally,27
naps,27
known,27
happily,27
ha,27
enjoyed,27
ear,27
despite,27
desk,27
deserve,27
convenient,27
conscious,27
bra,27
boundary,27
annoy,27
amusing,27
wore,26
typing,26
twin,26
sweater,26
spots,26
sneaking,26
silly,26
shave,26
sat,26
rings,26
responded,26
range,26
purpose,26
potential,26
piece,26
peace,26
opportunity,26
mode,26
mentally,26
meaning,26
match,26
massages,26
lib,26
knowledge,26
kevin,26
icecream,26
higher,26
hide,26
grace,26
gorgeous,26
exciting,26
exact,26
dramatic,26
died,26
current,26
curl,26
cover,26
convince,26
checking,26
broke,26
assumed,26
younger,25
yeahhh,25
werenât,25
updated,25
understandable,25
theres,25
stubborn,25
smaller,25
slight,25
signs,25
shorts,25
shaking,25
setting,25
seminar,25
scooting,25
quiet,25
prayers,25
odd,25
mhmmm,25
listened,25
lights,25
laptop,25
keven,25
friendship,25
focused,25
flexible,25
fancy,25
drama,25
definition,25
deeply,25
correct,25
congrats,25
compliment,25
communication,25
closest,25
city,25
cat,25
bugging,25
bread,25
blown,25
banana,25
ball,25
aware,25
24,25
young,24
wooo,24
wiggle,24
trash,24
topic,24
temperature,24
technically,24
teacher,24
statement,24
squeeze,24
sports,24
spoon,24
soul,24
soccer,24
significant,24
sex,24
several,24
separate,24
semi,24
reminded,24
rain,24
problematic,24
patients,24
patient,24
matching,24
lived,24
liking,24
leaves,24
knee,24
jokes,24
ive,24
interaction,24
imagining,24
heat,24
google,24
futon,24
flip,24
episode,24
dishes,24
discussion,24
devlin,24
details,24
cross,24
couples,24
cost,24
complete,24
collarbone,24
closed,24
cheeks,24
careful,24
brothers,24
breaking,24
bean,24
balance,24
ahhhh,24
adorable,24
;),24
4:30,24
youll,23
yayyyyy,23
wowwwww,23
videos,23
uncle,23
uhuh,23
total,23
throwing,23
struggle,23
stand,23
specifically,23
sorta,23
softly,23
shut,23
september,23
sensitive,23
rough,23
pun,23
provide,23
pretend,23
praying,23
potato,23
pop,23
paloma,23
nights,23
mistake,23
melting,23
lmk,23
length,23
key,23
jimmy,23
hereâs,23
growing,23
greatly,23
excitement,23
ears,23
differently,23
competition,23
comments,23
clue,23
bowl,23
bottom,23
bet,23
avoid,23
assume,23
arts,23
allergic,23
50,23
zero,22
turns,22
trees,22
toledo,22
stealing,22
shouldnât,22
shoes,22
sheet,22
scare,22
ryan,22
rub,22
row,22
record,22
raisins,22
price,22
personality,22
official,22
nature,22
napping,22
luckily,22
joking,22
healthy,22
groups,22
gross,22
grin,22
gate,22
fan,22
explore,22
everywhere,22
due,22
distracting,22
design,22
degree,22
debating,22
dated,22
cramps,22
cracker,22
coulda,22
correctly,22
core,22
context,22
content,22
constant,22
commitment,22
chocolate,22
butt,22
btw,22
broken,22
beyond,22
begin,22
barely,22
bar,22
babies,22
august,22
anytime,22
affection,22
adult,22
accidentally,22
absurdly,22
wifi,21
upset,21
underneath,21
trial,21
traveling,21
training,21
tend,21
tells,21
station,21
sometime,21
section,21
receive,21
raise,21
positive,21
porch,21
occasion,21
naming,21
mornings,21
mischievous,21
midwest,21
mentor,21
mattress,21
mary,21
john,21
jacksonville,21
information,21
hits,21
hardly,21
gold,21
experienced,21
dudes,21
crossing,21
cousin,21
counting,21
complicated,21
complaining,21
clueless,21
briefly,21
boop,21
books,21
boo,21
blessed,21
bam,21
background,21
allow,21
affect,21
admit,21
"""i",21
45,21
yayyyy,20
yâall,20
written,20
werent,20
transition,20
tough,20
tons,20
tongue,20
thinks,20
tension,20
teasing,20
tampa,20
sudden,20
subtle,20
steps,20
son,20
sneak,20
skip,20
skiff,20
shift,20
sexy,20
rate,20
puzzles,20
pulled,20
propose,20
pool,20
plssss,20
pic,20
perspective,20
park,20
ooooooo,20
needing,20
musicals,20
moves,20
motivation,20
lyrics,20
lifting,20
knots,20
iâd,20
honey,20
homework,20
holiday,20
history,20
grandma,20
graham,20
fridge,20
freshman,20
fitting,20
fill,20
feelings,20
facing,20
experiences,20
disappointed,20
describe,20
curious,20
couldnt,20
confidence,20
clean,20
cheaper,20
capable,20
bump,20
build,20
blankets,20
becoming,20
became,20
bats,20
admire,20
4th,20
25,20
wowwww,19
woken,19
wide,19
waist,19
trips,19
tag,19
t,19
swimming,19
suspicious,19
submit,19
stressful,19
rules,19
round,19
quality,19
priest,19
picturing,19
outfit,19
orientation,19
opening,19
officially,19
november,19
nicer,19
muscle,19
mrs,19
mix,19
meklit,19
matters,19
material,19
mail,19
lord,19
landed,19
kissed,19
june,19
invite,19
interest,19
ignore,19
however,19
herself,19
headaches,19
guessing,19
gifts,19
generous,19
fantastic,19
eaten,19
drinking,19
doc,19
dino,19
depends,19
daughter,19
crit,19
cousins,19
counts,19
cookies,19
confusing,19
chunk,19
center,19
button,19
box,19
born,19
boring,19
becomes,19
adjust,19
access,19
3rd,19
woulda,18
woman,18
warning,18
vs,18
voicemail,18
upper,18
unit,18
ugh,18
trains,18
title,18
thus,18
sugar,18
suddenly,18
spirit,18
spell,18
sounded,18
sliding,18
significantly,18
shall,18
scoot,18
scenario,18
romantic,18
rested,18
quarter,18
puns,18
public,18
pet,18
pepper,18
parent,18
pair,18
offer,18
nowhere,18
mom's,18
massaging,18
logic,18
jealous,18
holidays,18
hm,18
hiding,18
heads,18
ground,18
groceries,18
goodbye,18
frame,18
flowers,18
fish,18
fire,18
finishing,18
field,18
exist,18
ex,18
esp,18
ending,18
dropped,18
draping,18
drained,18
doctors,18
distract,18
direction,18
creepy,18
covers,18
consistent,18
considered,18
confident,18
concept,18
british,18
brings,18
bowling,18
bonding,18
below,18
beauty,18
bathing,18
areas,18
ainât,18
yesssss,17
wyatt,17
whose,17
weekends,17
weâve,17
wash,17
warmth,17
tummy,17
trade,17
thrown,17
themselves,17
tall,17
sweatshirts,17
star,17
sketchy,17
sentence,17
score,17
sci,17
remembering,17
relaxing,17
receiving,17
reaching,17
quiz,17
princess,17
prices,17
practically,17
potatoes,17
pm,17
placing,17
parties,17
partially,17
oblivious,17
mfa,17
lsu,17
lesson,17
lemme,17
kozal,17
journey,17
joint,17
jam,17
insane,17
include,17
hello,17
heavy,17
grandpa,17
gazing,17
freezing,17
foods,17
following,17
fighting,17
fewer,17
favorites,17
extreme,17
embrace,17
eggs,17
earl,17
drawing,17
draw,17
description,17
country,17
concern,17
compromise,17
compared,17
combined,17
cheap,17
chances,17
carry,17
camera,17
cake,17
bottle,17
bones,17
beforehand,17
awe,17
april,17
appointment,17
annoyed,17
amused,17
ai,17
ð,17
+,17
yessssss,16
wth,16
whereas,16
visual,16
update,16
understood,16
understanding,16
uchicago,16
transfer,16
town,16
touchdown,16
throat,16
theory,16
tense,16
taught,16
talks,16
surprising,16
stool,16
stage,16
stadium,16
spoiling,16
skill,16
simply,16
sighhh,16
shock,16
shape,16
senior,16
risk,16
rid,16
recipe,16
print,16
preparing,16
popular,16
plays,16
passing,16
packed,16
package,16
overwhelming,16
other's,16
o,16
notes,16
noises,16
museum,16
motion,16
mmmmmmm,16
messing,16
lol,16
leaf,16
kinds,16
kill,16
issues,16
hugging,16
hopeful,16
hasnât,16
halfway,16
graduation,16
further,16
forth,16
feed,16
father,16
empty,16
easter,16
e,16
dr,16
discuss,16
daily,16
dad's,16
crash,16
closet,16
chilly,16
chill,16
cheesy,16
central,16
camino,16
burden,16
broccoli,16
bothering,16
bone,16
boarding,16
biggest,16
basic,16
attracted,16
anywho,16
aggressive,16
afterwards,16
40,16
you've,15
youve,15
worlds,15
whoops,15
wherever,15
weirdness,15
weddings,15
warmer,15
vocation,15
veggies,15
unfortunately,15
uh,15
typical,15
types,15
tunak,15
tie,15
texting,15
tan,15
talent,15
style,15
storm,15
stone,15
sorts,15
sophomore,15
sooooo,15
sight,15
shots,15
service,15
scary,15
safely,15
restaurant,15
repeat,15
reminds,15
reception,15
react,15
purposely,15
puddle,15
prove,15
pride,15
plain,15
pink,15
physician,15
pg,15
packing,15
originally,15
model,15
mirror,15
mhmmmmm,15
mentors,15
marrying,15
location,15
link,15
laughed,15
land,15
joe,15
insurance,15
impression,15
gummy,15
gratitude,15
giggle,15
giant,15
genius,15
function,15
frustrate,15
flower,15
fed,15
events,15
draft,15
dinosaur,15
dining,15
delicious,15
curled,15
countdown,15
considering,15
complain,15
committed,15
collar,15
classmates,15
chose,15
chin,15
celebration,15
cats,15
carpet,15
cards,15
boss,15
base,15
bake,15
badly,15
apply,15
app,15
anniversary,15
affected,15
adjusted,15
accept,15
95%,15
5:30,15
youuuuu,14
youuuu,14
yall,14
wooooo,14
woooo,14
women,14
wisconsin,14
wars,14
walks,14
volume,14
vaguely,14
upon,14
university,14
unable,14
typed,14
twins,14
texted,14
tender,14
tech,14
tears,14
tear,14
suggested,14
structure,14
strongly,14
stressing,14
strength,14
street,14
stopping,14
startled,14
spectacular,14
someone's,14
snow,14
skills,14
site,14
signed,14
sends,14
security,14
secret,14
schools,14
scared,14
salmon,14
route,14
romance,14
respect,14
required,14
rent,14
refer,14
received,14
raining,14
racing,14
queen,14
proposal,14
professors,14
processing,14
prime,14
plsssss,14
plsss,14
peaceful,14
ourselves,14
original,14
opportunities,14
opinions,14
opened,14
noodle,14
neighbors,14
n,14
mini,14
milk,14
mercy,14
master,14
mailbox,14
m,14
losing,14
loan,14
limited,14
lightly,14
jooooooseph,14
jesus,14
january,14
intentional,14
intense,14
independent,14
imagined,14
id,14
host,14
hopes,14
final,14
fabric,14
eyebrow,14
explaining,14
equally,14
endearment,14
eastern,14
dogs,14
distinction,14
dislike,14
dish,14
discussing,14
detroit,14
denmark,14
death,14
cycle,14
cutting,14
crack,14
connection,14
connected,14
confirm,14
competitive,14
chaos,14
category,14
cantaloupe,14
camp,14
brother,14
brilliant,14
assignment,14
argument,14
appologize,14
animal,14
afraid,14
address,14
addition,14
actively,14
accomplished,14
accidently,14
acceptable,14
absolute,14
13,14
10:30,14
9:30,14
6:30,14
zone,13
wowwwwww,13
worn,13
wind,13
weirder,13
visually,13
unsure,13
unrelated,13
unique,13
underwear,13
uf,13
u,13
tune,13
toooooo,13
tightly,13
threw,13
theyâre,13
ten,13
suppose,13
supervisor,13
speak,13
snack,13
sleeve,13
sleepily,13
shrek,13
shown,13
shop,13
shit,13
scratchy,13
sake,13
review,13
returning,13
recieve,13
priorities,13
press,13
prepared,13
preferred,13
pointing,13
pin,13
pie,13
phew,13
personally,13
permission,13
notre,13
north,13
noon,13
nauseous,13
mindset,13
meals,13
march,13
looooove,13
longest,13
lie,13
law,13
killing,13
javascript,13
info,13
honeymoon,13
holy,13
hobby,13
he's,13
hell,13
heaven,13
halloween,13
gut,13
gossip,13
fuzzy,13
forgetting,13
fool,13
flopping,13
fake,13
event,13
engineering,13
education,13
dynamic,13
dying,13
dried,13
def,13
deciding,13
creative,13
cookie,13
cooked,13
consistently,13
confuse,13
comforting,13
closing,13
clarify,13
circles,13
circle,13
career,13
butter,13
buildings,13
brush,13
boat,13
average,13
attack,13
appearance,13
anxious,13
answered,13
american,13
allergies,13
alcohol,13
alarms,13
adventures,13
action,13
7th,13
2nd,13
"""you",13
-,13
200,13
80,13
17,13
16,13
yayyyyyy,12
wood,12
weed,12
wee,12
website,12
wave,12
wardrobe,12
volleyball,12
voices,12
unlike,12
unknown,12
undergrads,12
trombone,12
tree,12
touching,12
tmi,12
talented,12
surprisingly,12
surprises,12
strip,12
sticking,12
stare,12
stairs,12
socially,12
smells,12
siblings,12
shy,12
showering,12
sell,12
seat,12
saved,12
s,12
resources,12
recent,12
reasonable,12
rained,12
purple,12
proof,12
promised,12
profile,12
printer,12
primary,12
pouting,12
